Source,RA_ICRS,DEC_ICRS,e_RA_ICRS,e_DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_VR,Gmag,e_Gmag,Mass_Flame
116002772482688,45.170985509669045,0.8333613450151932,0.06215478479862213,0.055903360247612,4.298312407840368,0.07710893452167511,-6.9641461430772695,0.06845942884683609,0.6722936886029053,0.06696299463510513,0.0,0.0,16.959095001220703,0.0009369093973950837,0.7836477160453796
116101556497792,45.17112826502971,0.8467722447831141,1.554940104484558,1.7557682991027832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75596809387207,0.019692259432744483,0.75
116479513433472,45.17314467100896,0.8762992801787765,0.08767793327569962,0.0854894295334816,19.871876649418624,0.11638060212135315,-17.942481452339,0.10716354846954346,3.4211486998415266,0.10027309507131577,0.0,0.0,17.565488815307617,0.0012573216679776583,0.75
116479515230592,45.173045163599184,0.8755510365824041,0.6970133185386658,0.7183427214622498,21.66478680053028,1.1010818481445312,-16.920267228451433,1.0132352113723755,5.685711661954639,0.8067487478256226,0.0,0.0,20.433574676513672,0.01363979614805886,0.75
116483808131584,45.15899884525011,0.8767742834275053,0.7098230719566345,0.6593713164329529,3.4004358002882467,1.1807736158370972,1.7185764535845602,0.8978679776191711,1.509557648321,0.7320207357406616,0.0,0.0,20.343647003173828,0.00789252754165108,0.75
116483808818560,45.17122490795342,0.8751637665978163,0.021280869841575623,0.020092519000172615,-4.562486287205421,0.02793922834098339,-4.61003965682031,0.025358855724334717,1.2119925874277788,0.0241961982101202,0.0,0.0,14.852787017822266,0.0003293290651398089,0.75
116582592635904,45.27666301447685,0.832269138922873,0.19088855385780334,0.19288727641105652,6.479568767479709,0.26169806718826294,-21.39143176448679,0.22935597598552704,0.6438262299514,0.23124384880065918,0.0,0.0,18.862747192382812,0.0028367817650420605,0.75
116582594512128,45.266857244924225,0.8405687039303653,1.1504006385803223,1.232545256614685,0.6316276619555505,1.7977254390716553,0.14606142407210607,1.5453046560287476,0.0,1.433579683303833,0.0,0.0,20.770265579223633,0.013995175684411082,0.75
116586888228096,45.26765860610554,0.8418263712648654,3.678978443145752,3.4418046474456787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.025806427001953,0.01945186157732829,0.75
116651312117248,45.269972235003266,0.8449830220027527,0.22999462485313416,0.2272377908229828,5.875441675278944,0.32278406620025635,-3.0739006551741936,0.27675366401672363,0.5636192748049285,0.27427878975868225,0.0,0.0,19.323835372924805,0.0035173151877171322,0.75
116685671856256,45.291558185591505,0.8482381546146367,0.1999836564064026,0.18046268820762634,9.47394173993742,0.287700891494751,-7.445484505224191,0.2367994487285614,0.6235422775118697,0.222126767039299,0.0,0.0,19.08922004699707,0.003119492968723225,0.75
116754391334784,45.27478968269127,0.8527749167624671,0.16932910680770874,0.1594407707452774,2.307147997078226,0.22285866737365723,-4.14135332956269,0.19001662731170654,0.18476550107430909,0.20081622898578644,0.0,0.0,18.73290252685547,0.002195565091820443,0.75
116788751268864,45.2905031161296,0.8661676230940597,0.4852627217769623,0.4617006778717041,0.7493855207231654,0.6515077352523804,-2.5370892755135954,0.5428707003593445,1.6092785830705238,0.5780619978904724,0.0,0.0,19.86941909790039,0.00554167701571519,0.75
116891832162304,45.22272458272962,0.8601163380469934,2.9412105083465576,2.921753168106079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.911888122558594,0.018391385081999924,0.75
116930485416320,45.240698255431056,0.8654855573050629,0.03781786561012268,0.033295560628175735,65.51146407260524,0.04762979596853256,-67.60134071842872,0.03955542668700218,1.4097277287256844,0.04235319793224335,0.0,0.0,15.500675201416016,0.0004233665391296551,0.75
116960551634688,45.26831534470147,0.8667025654264088,1.43040132522583,1.8356585502624512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82489013671875,0.018041407069331297,0.75
117274082795776,45.33847436019884,0.8925852006996764,0.029506998136639595,0.026488516479730606,4.692055575247885,0.03866196423768997,7.6717897061072895,0.033912189304828644,0.7661732372584494,0.03328680247068405,0.0,0.0,15.218368530273438,0.0003860166407587322,0.8961406946182251
117304147161088,45.3206839161142,0.9002100399851243,0.09163009375333786,0.07979591935873032,2.881867555370565,0.12201674282550812,-10.662632686672728,0.10631946474313736,1.3745053263969862,0.09801656752824783,0.0,0.0,17.73868751525879,0.0014311735954993742,0.5393313765525818
117304147161216,45.31799627414748,0.9007741035434528,0.1322578489780426,0.11914397031068802,-0.1829708394295594,0.1754397451877594,-1.663635402433924,0.15197411179542542,0.038697222505908006,0.14486460387706757,0.0,0.0,18.420873641967773,0.0021399870611178897,0.75
117308441803136,45.32060022283022,0.9012464181914354,5.621822834014893,9.35456371307373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46834945678711,0.01934714677126361,0.75
117308442534272,45.320752149629946,0.9011709532968599,0.9188196659088135,0.8355600237846375,-0.31872289243197455,1.1623438596725464,-14.296000929618309,1.032710075378418,1.060631635520022,1.0141962766647339,0.0,0.0,19.527690887451172,0.013334295333136173,0.75
117338506899712,45.33443090540003,0.9013547209122253,0.28558751940727234,0.2872259318828583,9.049888150743413,0.4186802804470062,-8.958894308030603,0.3656972050666809,0.4275614359591985,0.3488229811191559,0.0,0.0,19.636043548583984,0.004446767700993721,0.75
117475945856000,45.288137883440214,0.910655667022439,0.09448540210723877,0.08791118115186691,3.4322525777975432,0.12767668068408966,1.3511132082190147,0.10691956430673599,0.4070845624448644,0.10818153619766235,0.0,0.0,17.853540420532227,0.0014748909898109057,0.75
117510305781248,45.31188073395406,0.9086812376070386,0.3680598735809326,0.3671731948852539,8.954286355025854,0.5412328243255615,-6.2303851736387825,0.43936365842819214,1.7828491647967835,0.44276073575019836,0.0,0.0,19.780019760131836,0.004790565524959115,0.75
117544667186560,45.3199404747281,0.9160345973368819,0.14075803756713867,0.1319202035665512,-1.834386363126999,0.1928200125694275,-19.84443791031822,0.15609034895896912,0.9531236872738837,0.16154180467128754,0.0,0.0,18.506385803222656,0.0020526764345461163,0.75
117548960701952,45.320751547425715,0.9162677715997775,0.07731082290410995,0.07203315198421478,15.567819995388458,0.10291440784931183,0.8535023119028221,0.08551940321922302,1.0344185415925198,0.08913223445415497,0.0,0.0,17.49127769470215,0.0011774612787827468,0.603348433971405
